name,url,domain
"Red Lake Nation College, Red Lake",https://www.rlnc.education/,rlnc.education
University of Rhode Island Cooperative Extension,https://web.uri.edu/coopext/,uri.edu
University of Vermont Extension,https://www.uvm.edu/extension,uvm.edu
Utah State University Extension,https://extension.usu.edu/,usu.edu
Central State University,http://www.centralstate.edu/,centralstate.edu
"Texas A&M University, Agriculture & Life Sciences",http://aglifesciences.tamu.edu/,tamu.edu
"Washington State University, College of Agricultural, Human, and Natural Resource Sciences",http://cahnrs.wsu.edu/,wsu.edu
College of the Menominee Nation ,http://www.menominee.edu/,menominee.edu
University of Vermont ,http://www.uvm.edu/,uvm.edu
Lac Courte Oreilles Ojibwa Community College,http://www.lco.edu/,lco.edu
"University of Tennessee, Extension",https://extension.tennessee.edu/Pages/default.aspx,tennessee.edu
Northwest Indian College ,http://www.nwic.edu/,nwic.edu
"University of Tennessee, College of Agricultural Sciences and Natural Resources",https://ag.tennessee.edu/herbert/Pages/default.aspx,tennessee.edu
Washington State University ,http://www.wsu.edu/,wsu.edu
Prairie View A&M University,http://www.pvamu.edu/,pvamu.edu
"Washington State University, Extension ",http://ext.wsu.edu/,wsu.edu
"Prairie View A&M University, Cooperative Extension Program",https://www.pvamu.edu/cooperative-extension/,pvamu.edu
West Virginia University ,http://www.wvu.edu/,wvu.edu
"Prairie View A&M University, College of Agriculture and Human Sciences",http://www.pvamu.edu/cahs/,pvamu.edu
"West Virginia University, Extension Service",https://extension.wvu.edu/,wvu.edu
College of the Menominee Nation ,http://www.menominee.edu/,menominee.edu
"University of Vermont,  College of Agriculture and Life Sciences",http://www.uvm.edu/~cals/,uvm.edu
Lac Courte Oreilles Ojibwa Community College,http://www.lco.edu/,lco.edu
University of the Virgin Islands,http://www.uvi.edu/,uvi.edu
University of Wisconsin-Madison ,http://www.wisc.edu/,wisc.edu
Virginia Polytechnic Institute & State University ,http://www.vt.edu/,vt.edu
"University of Wisconsin-Madison, Cooperative Extension",http://www.uwex.edu/ces/,uwex.edu
Tennessee State University ,http://www.tnstate.edu/,tnstate.edu
"Virginia Polytechnic Institute & State University, College of Agriculture and Life Sciences  ",http://www.cals.vt.edu/,vt.edu
"University of Wisconsin-Madison, College of Agricultural & Life Sciences ",http://www.cals.wisc.edu/,wisc.edu
"Prairie View A&M University, Cooperative Extension Program",https://www.pvamu.edu/cooperative-extension/,pvamu.edu
"West Virginia University, Extension Service",https://extension.wvu.edu/,wvu.edu
"Prairie View A&M University, College of Agriculture and Human Sciences",http://www.pvamu.edu/cahs/,pvamu.edu
"West Virginia University, College of Agriculture, Natural Resources and Design ",http://www.davis.wvu.edu/,wvu.edu
Texas A&M University ,http://www.tamu.edu/,tamu.edu
West Virginia State University,http://www.wvstateu.edu/,wvstateu.edu
Utah State University ,http://www.usu.edu/,usu.edu
"West Virginia State University, Extension Service",http://www.wvstateu.edu/extension,wvstateu.edu
"Utah State University, College of Agriculture and Applied Sciences ",https://caas.usu.edu/,usu.edu
College of the Menominee Nation ,http://www.menominee.edu/,menominee.edu
"Prairie View A&M University, College of Agriculture and Human Sciences",http://www.pvamu.edu/cahs/,pvamu.edu
"West Virginia University, College of Agriculture, Natural Resources and Design ",http://www.davis.wvu.edu/,wvu.edu
Texas A&M University ,http://www.tamu.edu/,tamu.edu
"Oklahoma State University, College of Agricultural Sciences & Natural Resources",http://casnr.okstate.edu/,okstate.edu
Cornell University,http://www.cornell.edu/,cornell.edu
Oglala Lakota College ,http://www.olc.edu/,olc.edu
Oregon State University ,http://oregonstate.edu/,oregonstate.edu
"Cornell University, Cooperative Extension",http://www.cce.cornell.edu/Pages/Default.aspx,cornell.edu
Sinte Gleska University,http://www.sintegleska.edu/,sintegleska.edu
"Oregon State University, Extension Service",https://extension.oregonstate.edu/,oregonstate.edu
"Cornell University, Cooperative Extension",http://www.cce.cornell.edu/Pages/Default.aspx,cornell.edu
United Tribes Technical College ,http://www.uttc.edu/,uttc.edu
Pennsylvania State University,https://www.psu.edu/,psu.edu
"South Dakota State University, Extension ",https://www.sdstate.edu/sdsu-extension,sdstate.edu
"Cornell University, College of Agriculture and Life Sciences",http://cals.cornell.edu/,cornell.edu
Northern Marianas College ,http://www.marianas.edu/,marianas.edu
"Pennsylvania State University, Extension",https://extension.psu.edu,psu.edu
"South Dakota State University, College of Agriculture & Biological Sciences",http://www.sdstate.edu/abs/,sdstate.edu
North Carolina A&T State University,http://www.ncat.edu/,ncat.edu
Central State University,http://www.centralstate.edu/,centralstate.edu
Sinte Gleska University,http://www.sintegleska.edu/,sintegleska.edu
"Oregon State University, Extension Service",https://extension.oregonstate.edu/,oregonstate.edu
Sisseton Wahpeton Community College ,http://www.swc.tc/,swc.tc
Turtle Mountain Community College ,http://www.tm.edu/,tm.edu
"Oregon State University, College of Agricultural Sciences",http://agsci.oregonstate.edu/,oregonstate.edu
South Dakota State University ,http://www.sdstate.edu/,sdstate.edu
United Tribes Technical College ,http://www.uttc.edu/,uttc.edu
Pennsylvania State University,https://www.psu.edu/,psu.edu
"South Dakota State University, Extension ",https://www.sdstate.edu/sdsu-extension,sdstate.edu
Southwest Indian Polytechnic Institute,http://www.sipi.edu/,sipi.edu
Langston University,http://www.langston.edu/,langston.edu
Cankdeska Cikana Community College,http://www.littlehoop.edu/,littlehoop.edu
South Carolina State University,http://www.scsu.edu/,scsu.edu
"Langston University, Research and Extension",http://www.langston.edu/cooperative-extension-programs,langston.edu
North Dakota State University,http://www.ndsu.edu/,ndsu.edu
"South Carolina State University, Extension",http://www.scsu.edu/1890/extension.aspx,scsu.edu
"Langston University, Agriculture & Applied Sciences",http://www.langston.edu/agriculture-applied-sciences,langston.edu
"North Dakota State University, Extension Service",http://www.ag.ndsu.edu/extension/,ndsu.edu
Clemson University,http://www.clemson.edu/,clemson.edu
Oklahoma State University,https://go.okstate.edu/,okstate.edu
"Pennsylvania State University, Extension",https://extension.psu.edu,psu.edu
"South Dakota State University, College of Agriculture & Biological Sciences",http://www.sdstate.edu/abs/,sdstate.edu
"Cornell University, Cooperative Extension",http://www.cce.cornell.edu/Pages/Default.aspx,cornell.edu
